crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 1 , 0 , 0 , 0
Firearm , 0 , 0 , 0 , 1 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 0 , 1 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 7 , 2 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 6 , 0 , 8 , 17 , 14 , 0
Forcible Entry , 0 , 0 , 2 , 0 , 0 , 0
Unlawful Entry , 1 , 0 , 5 , 0 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 0 , 1 , 1 , 0
Larceny - Theft , 17 , 0 , 237 , 116 , 3 , 0
Autos , 0 , 0 , 2 , 0 , 0 , 0
Other Vehicle , 0 , 0 , 0 , 1 , 1 , 0
