crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 1 , 0 , 3 , 0 , 0 , 0
Attempted Rape , 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 0 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 2 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 1 , 0 , 4 , 2 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 19 , 0 , 65 , 30 , 19 , 0
Forcible Entry , 1 , 0 , 4 , 4 , 0 , 0
Unlawful Entry , 2 , 0 , 5 , 1 , 1 , 0
Attempted Forcible Entry , 0 , 0 , 2 , 2 , 0 , 0
Larceny - Theft , 10 , 0 , 46 , 15 , 3 , 0
Autos , 0 , 0 , 1 , 0 , 0 , 0
