crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 2 , 0 , 0 , 0
Firearm , 0 , 0 , 1 , 3 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 1 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 0 , 1 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 3 , 2 , 2 , 0
Gun , 0 , 0 , 1 , 1 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 1 , 0 , 0
Other Dangerous Weapon , 1 , 0 , 3 , 1 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 2 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 16 , 0 , 96 , 77 , 66 , 8
Forcible Entry , 2 , 0 , 11 , 12 , 0 , 0
Unlawful Entry , 1 , 0 , 8 , 8 , 0 , 0
Attempted Forcible Entry , 2 , 0 , 5 , 1 , 0 , 0
Larceny - Theft , 53 , 0 , 244 , 211 , 66 , 2
Autos , 1 , 0 , 4 , 2 , 2 , 0
