crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Firearm , 0 , 0 , 0 , 1 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 1 , 0 , 1 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 4 , 2 , 8 , 6 , 6 , 1
Forcible Entry , 0 , 0 , 2 , 3 , 0 , 0
Unlawful Entry , 2 , 1 , 3 , 1 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 2 , 2 , 0 , 0
Larceny - Theft , 5 , 4 , 10 , 16 , 0 , 0
Other Vehicle , 0 , 0 , 0 , 1 , 0 , 0
