crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 1 , 0 , 0 , 0
Firearm , 1 , 0 , 1 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 1 , 1 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 2 , 2 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 1 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 4 , 0 , 19 , 13 , 13 , 1
Forcible Entry , 3 , 0 , 8 , 4 , 0 , 0
Unlawful Entry , 3 , 0 , 14 , 5 , 0 , 0
Larceny - Theft , 26 , 0 , 88 , 52 , 7 , 1
Autos , 0 , 0 , 2 , 1 , 1 , 0
