crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 2 , 2 , 0 , 0
Firearm , 1 , 0 , 3 , 5 , 4 , 0
Knife or Cutting Instrument , 1 , 0 , 2 , 3 , 2 , 0
"Strong Arm (Hands, Fists, etc.) ", 2 , 0 , 9 , 3 , 1 , 0
Gun , 1 , 0 , 1 , 2 , 2 , 0
Knife or Cutting Instrument , 1 , 0 , 2 , 1 , 1 , 0
Other Dangerous Weapon , 1 , 0 , 4 , 2 , 1 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 2 , 0 , 6 , 1 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 18 , 0 , 90 , 69 , 42 , 0
Forcible Entry , 7 , 0 , 33 , 17 , 3 , 0
Unlawful Entry , 2 , 0 , 15 , 3 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 0 , 1 , 0 , 0
Larceny - Theft , 62 , 0 , 250 , 175 , 101 , 4
Autos , 10 , 0 , 26 , 20 , 3 , 0
Trucks and Buses , 2 , 0 , 4 , 2 , 0 , 0
Other Vehicle , 0 , 0 , 1 , 3 , 0 , 0
