crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 0 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 4 , 1 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 25 , 0 , 84 , 56 , 56 , 0
Forcible Entry , 0 , 0 , 3 , 3 , 10 , 0
Unlawful Entry , 5 , 0 , 32 , 6 , 3 , 0
Attempted Forcible Entry , 1 , 0 , 4 , 4 , 3 , 0
Larceny - Theft , 23 , 0 , 90 , 43 , 47 , 0
Autos , 0 , 0 , 0 , 1 , 0 , 0
