crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 2 , 2 , 1 , 0
Firearm , 2 , 0 , 6 , 1 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 2 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 1 , 1 , 0
"Strong Arm (Hands, Fists, etc.) ", 1 , 0 , 5 , 3 , 0 , 0
Gun , 1 , 0 , 3 , 2 , 1 , 0
Knife or Cutting Instrument , 0 , 0 , 3 , 4 , 2 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 1 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 2 , 0 , 3 , 1 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 41 , 0 , 108 , 55 , 22 , 0
Forcible Entry , 4 , 0 , 36 , 16 , 0 , 0
Unlawful Entry , 8 , 0 , 28 , 12 , 0 , 0
Attempted Forcible Entry , 4 , 0 , 11 , 5 , 0 , 0
Larceny - Theft , 34 , 0 , 170 , 73 , 5 , 0
Autos , 4 , 0 , 14 , 4 , 0 , 0
Trucks and Buses , 0 , 0 , 1 , 0 , 0 , 0
Other Vehicle , 1 , 0 , 1 , 0 , 0 , 0
