crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Murder , 0 , 0 , 0 , 2 , 0 , 0
Rape , 1 , 0 , 2 , 0 , 0 , 0
Firearm , 1 , 0 , 6 , 5 , 1 , 0
Knife or Cutting Instrument , 1 , 0 , 5 , 5 , 1 , 1
Other Dangerous Weapon , 0 , 0 , 1 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 4 , 0 , 11 , 4 , 2 , 0
Gun , 1 , 0 , 3 , 5 , 3 , 2
Knife or Cutting Instrument , 3 , 0 , 11 , 13 , 7 , 1
Other Dangerous Weapon , 2 , 0 , 11 , 12 , 8 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 2 , 0 , 8 , 4 , 3 , 0
"Simple (Hands, Fists, Feet, etc.) ", 70 , 0 , 237 , 218 , 83 , 17
Forcible Entry , 9 , 0 , 39 , 24 , 5 , 0
Unlawful Entry , 7 , 0 , 26 , 18 , 2 , 0
Attempted Forcible Entry , 2 , 0 , 8 , 4 , 0 , 0
Larceny - Theft , 89 , 0 , 388 , 227 , 76 , 9
Autos , 3 , 0 , 10 , 1 , 0 , 0
