crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 1 , 3 , 0 , 0
Firearm , 0 , 1 , 0 , 1 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 2 , 1 , 3 , 4 , 1 , 0
Gun , 0 , 0 , 2 , 2 , 2 , 0
Knife or Cutting Instrument , 1 , 0 , 3 , 1 , 1 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 1 , 0 , 2 , 1 , 1
"Simple (Hands, Fists, Feet, etc.) ", 16 , 25 , 107 , 113 , 24 , 1
Forcible Entry , 1 , 4 , 6 , 6 , 1 , 1
Unlawful Entry , 1 , 3 , 4 , 13 , 1 , 1
Attempted Forcible Entry , 1 , 0 , 1 , 6 , 0 , 0
Larceny - Theft , 13 , 18 , 61 , 76 , 3 , 1
Autos , 0 , 0 , 3 , 4 , 0 , 0
