crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 1 , 1 , 1 , 0
Firearm , 1 , 0 , 7 , 2 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 1 , 1 , 0
Other Dangerous Weapon , 0 , 0 , 2 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 2 , 0 , 8 , 10 , 3 , 0
Gun , 1 , 0 , 4 , 2 , 2 , 0
Knife or Cutting Instrument , 2 , 0 , 6 , 1 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 2 , 1 , 1 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 1 , 0 , 8 , 17 , 10 , 0
"Simple (Hands, Fists, Feet, etc.) ", 13 , 0 , 88 , 57 , 17 , 0
Forcible Entry , 10 , 0 , 38 , 29 , 11 , 0
Unlawful Entry , 8 , 0 , 30 , 8 , 7 , 0
Attempted Forcible Entry , 3 , 0 , 22 , 10 , 3 , 0
Larceny - Theft , 85 , 0 , 360 , 275 , 123 , 9
Autos , 7 , 0 , 28 , 15 , 2 , 1
Other Vehicle , 2 , 0 , 5 , 6 , 0 , 0
