crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Murder , 0 , 0 , 0 , 1 , 0 , 0
Rape , 1 , 0 , 3 , 0 , 0 , 0
Firearm , 1 , 2 , 2 , 4 , 1 , 0
Knife or Cutting Instrument , 0 , 0 , 2 , 2 , 1 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 1 , 2 , 2 , 2
Gun , 1 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 1 , 1 , 0
Other Dangerous Weapon , 0 , 0 , 5 , 1 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 1 , 0 , 2 , 5 , 3 , 0
"Simple (Hands, Fists, Feet, etc.) ", 12 , 6 , 49 , 30 , 25 , 2
Forcible Entry , 1 , 5 , 18 , 10 , 2 , 0
Unlawful Entry , 3 , 1 , 10 , 5 , 0 , 0
Attempted Forcible Entry , 1 , 0 , 2 , 2 , 1 , 0
Larceny - Theft , 16 , 38 , 58 , 104 , 8 , 1
Autos , 3 , 0 , 9 , 5 , 1 , 0
Trucks and Buses , 0 , 0 , 4 , 5 , 0 , 0
Other Vehicle , 1 , 1 , 3 , 2 , 0 , 0
