crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Firearm , 1 , 0 , 2 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 4 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 0 , 1 , 1 , 0
Knife or Cutting Instrument , 0 , 0 , 0 , 1 , 0 , 0
Other Dangerous Weapon , 4 , 0 , 6 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 0 , 2 , 2 , 0
"Simple (Hands, Fists, Feet, etc.) ", 20 , 0 , 87 , 74 , 46 , 1
Forcible Entry , 7 , 0 , 34 , 21 , 4 , 0
Unlawful Entry , 2 , 0 , 5 , 3 , 0 , 0
Larceny - Theft , 21 , 0 , 101 , 71 , 13 , 2
Autos , 3 , 0 , 3 , 8 , 1 , 1
