crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 1 , 6 , 2 , 2
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 0 , 1 , 0 , 0
Gun , 0 , 0 , 0 , 1 , 1 , 0
Other Dangerous Weapon , 1 , 0 , 1 , 1 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 6 , 0 , 42 , 34 , 13 , 1
Forcible Entry , 6 , 0 , 9 , 3 , 0 , 0
Unlawful Entry , 1 , 0 , 4 , 6 , 1 , 1
Attempted Forcible Entry , 0 , 0 , 2 , 2 , 0 , 0
Larceny - Theft , 9 , 0 , 45 , 45 , 8 , 0
Autos , 0 , 0 , 0 , 2 , 0 , 0
Other Vehicle , 0 , 0 , 2 , 1 , 0 , 0
