crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 1 , 0 , 0 , 0
Attempted Rape , 0 , 0 , 0 , 1 , 1 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 1 , 0 , 2 , 1 , 2 , 1
Knife or Cutting Instrument , 1 , 0 , 1 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 5 , 0 , 7 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 8 , 0 , 39 , 13 , 8 , 0
Forcible Entry , 5 , 0 , 9 , 0 , 0 , 0
Unlawful Entry , 3 , 0 , 13 , 2 , 0 , 0
Attempted Forcible Entry , 2 , 0 , 5 , 0 , 0 , 0
Larceny - Theft , 33 , 0 , 160 , 32 , 11 , 0
Autos , 0 , 0 , 6 , 3 , 1 , 0
