crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Murder , 0 , 0 , 0 , 0 , 1 , 0
Rape , 1 , 0 , 2 , 0 , 0 , 0
Firearm , 0 , 0 , 2 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 2 , 1 , 1 , 0
Other Dangerous Weapon , 0 , 0 , 5 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 2 , 0 , 0 , 0
Gun , 0 , 0 , 1 , 1 , 1 , 0
Knife or Cutting Instrument , 0 , 0 , 0 , 0 , 0 , 0
Other Dangerous Weapon , 1 , 0 , 8 , 6 , 2 , 1
"Simple (Hands, Fists, Feet, etc.) ", 22 , 0 , 73 , 52 , 34 , 5
Forcible Entry , 11 , 0 , 34 , 17 , 2 , 1
Unlawful Entry , 12 , 0 , 34 , 9 , 2 , 1
Attempted Forcible Entry , 1 , 0 , 2 , 2 , 0 , 0
Larceny - Theft , 60 , 0 , 311 , 206 , 107 , 29
Autos , 2 , 0 , 8 , 4 , 2 , 1
Other Vehicle , 0 , 0 , 0 , 1 , 0 , 0
