crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 0 , 1 , 0 , 0
Firearm , 0 , 0 , 4 , 0 , 0 , 0
Knife or Cutting Instrument , 1 , 0 , 2 , 1 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 0 , 2 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 6 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 2 , 2 , 2 , 0
Other Dangerous Weapon , 1 , 0 , 2 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 1 , 0 , 2 , 5 , 4 , 0
"Simple (Hands, Fists, Feet, etc.) ", 6 , 0 , 31 , 15 , 13 , 2
Forcible Entry , 6 , 0 , 23 , 11 , 2 , 0
Unlawful Entry , 10 , 0 , 22 , 5 , 1 , 0
Attempted Forcible Entry , 2 , 0 , 4 , 1 , 1 , 0
Larceny - Theft , 31 , 0 , 141 , 61 , 3 , 0
Autos , 6 , 0 , 17 , 4 , 0 , 0
