crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 1 , 0 , 2 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 1 , 3 , 3 , 1 , 0
Gun , 0 , 0 , 0 , 1 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 1 , 1 , 0
Other Dangerous Weapon , 1 , 0 , 1 , 1 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 1 , 0 , 1 , 3 , 3 , 0
"Simple (Hands, Fists, Feet, etc.) ", 6 , 11 , 31 , 56 , 55 , 0
Forcible Entry , 1 , 9 , 8 , 23 , 5 , 0
Unlawful Entry , 3 , 5 , 9 , 21 , 2 , 0
Attempted Forcible Entry , 0 , 4 , 0 , 7 , 1 , 0
Larceny - Theft , 18 , 14 , 67 , 92 , 15 , 2
Autos , 2 , 2 , 5 , 4 , 0 , 0
Trucks and Buses , 0 , 0 , 0 , 1 , 0 , 0
Other Vehicle , 0 , 1 , 1 , 3 , 0 , 0
