crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Firearm , 0 , 0 , 0 , 1 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 0 , 1 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 1 , 3 , 2 , 4 , 2 , 0
Gun , 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 0 , 1 , 0 , 0
Other Dangerous Weapon , 0 , 1 , 0 , 2 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 11 , 9 , 51 , 41 , 24 , 0
Forcible Entry , 1 , 3 , 7 , 5 , 0 , 0
Unlawful Entry , 0 , 1 , 3 , 4 , 1 , 0
Attempted Forcible Entry , 0 , 1 , 1 , 3 , 1 , 0
Larceny - Theft , 13 , 11 , 55 , 74 , 5 , 0
Autos , 2 , 0 , 3 , 1 , 0 , 0
