crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Murder , 0 , 0 , 1 , 0 , 0 , 0
Manslaughter , 0 , 0 , 1 , 0 , 0 , 0
Rape , 0 , 0 , 3 , 3 , 2 , 2
Firearm , 2 , 0 , 7 , 7 , 1 , 0
Knife or Cutting Instrument , 1 , 0 , 5 , 3 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 7 , 5 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 8 , 0 , 29 , 26 , 2 , 1
Gun , 1 , 0 , 2 , 5 , 0 , 0
Knife or Cutting Instrument , 5 , 0 , 14 , 14 , 7 , 1
Other Dangerous Weapon , 4 , 0 , 25 , 24 , 7 , 1
"Aggravated (Hands, Fists, Feet, etc.) ", 2 , 0 , 22 , 14 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 63 , 0 , 246 , 133 , 27 , 10
Forcible Entry , 8 , 0 , 46 , 36 , 6 , 1
Unlawful Entry , 8 , 0 , 23 , 9 , 2 , 0
Attempted Forcible Entry , 2 , 0 , 5 , 0 , 0 , 0
Larceny - Theft , 86 , 0 , 296 , 200 , 19 , 9
Autos , 14 , 0 , 59 , 32 , 0 , 0
Trucks and Buses , 2 , 0 , 3 , 4 , 0 , 0
Other Vehicle , 0 , 0 , 3 , 2 , 0 , 0
