crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Firearm , 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 1 , 0 , 1 , 1 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 2 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 0 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 0 , 3 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 2 , 4 , 4 , 0
"Simple (Hands, Fists, Feet, etc.) ", 2 , 0 , 24 , 15 , 10 , 0
Forcible Entry , 3 , 0 , 6 , 7 , 3 , 0
Unlawful Entry , 2 , 0 , 10 , 10 , 0 , 0
Larceny - Theft , 19 , 0 , 82 , 51 , 7 , 1
Autos , 1 , 0 , 2 , 2 , 1 , 0
