crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Murder , 0 , 0 , 0 , 1 , 1 , 0
Rape , 0 , 0 , 0 , 1 , 1 , 0
Firearm , 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 1 , 0 , 2 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 3 , 0 , 22 , 18 , 19 , 0
Forcible Entry , 3 , 0 , 11 , 6 , 3 , 0
Unlawful Entry , 0 , 0 , 3 , 3 , 1 , 0
Attempted Forcible Entry , 1 , 0 , 3 , 2 , 0 , 0
Larceny - Theft , 22 , 0 , 75 , 49 , 25 , 0
Autos , 0 , 0 , 2 , 1 , 1 , 0
Other Vehicle , 0 , 0 , 0 , 1 , 0 , 0
