crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 1 , 0 , 0 , 0
Firearm , 0 , 0 , 1 , 1 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 0 , 1 , 1 , 0
"Strong Arm (Hands, Fists, etc.) ", 1 , 0 , 3 , 2 , 0 , 0
Other Dangerous Weapon , 1 , 0 , 3 , 3 , 2 , 1
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 1 , 0 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 10 , 0 , 49 , 23 , 11 , 1
Forcible Entry , 1 , 0 , 12 , 9 , 0 , 0
Unlawful Entry , 0 , 0 , 3 , 7 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 1 , 4 , 0 , 0
Larceny - Theft , 26 , 0 , 124 , 144 , 36 , 1
Autos , 3 , 0 , 9 , 3 , 1 , 0
