crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Murder , 0 , 0 , 0 , 1 , 1 , 0
Rape , 0 , 0 , 7 , 8 , 2 , 0
Attempted Rape , 0 , 0 , 1 , 0 , 0 , 0
Firearm , 0 , 0 , 4 , 3 , 2 , 1
Knife or Cutting Instrument , 0 , 0 , 3 , 1 , 0 , 0
Other Dangerous Weapon , 1 , 0 , 1 , 1 , 1 , 0
"Strong Arm (Hands, Fists, etc.) ", 1 , 0 , 4 , 5 , 4 , 0
Gun , 0 , 1 , 3 , 1 , 1 , 0
Knife or Cutting Instrument , 3 , 2 , 13 , 6 , 5 , 1
Other Dangerous Weapon , 3 , 4 , 11 , 8 , 7 , 2
"Aggravated (Hands, Fists, Feet, etc.) ", 2 , 0 , 8 , 4 , 4 , 0
"Simple (Hands, Fists, Feet, etc.) ", 44 , 35 , 143 , 135 , 78 , 5
Forcible Entry , 3 , 0 , 19 , 10 , 0 , 0
Unlawful Entry , 4 , 5 , 14 , 29 , 2 , 0
Larceny - Theft , 36 , 35 , 187 , 172 , 52 , 5
Autos , 7 , 7 , 17 , 25 , 1 , 0
Trucks and Buses , 1 , 1 , 5 , 10 , 0 , 0
Other Vehicle , 1 , 0 , 1 , 0 , 0 , 0
