crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Firearm , 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 1 , 0 , 1 , 0 , 0 , 0
Gun , 0 , 0 , 0 , 1 , 1 , 0
Knife or Cutting Instrument , 0 , 0 , 2 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 0 , 1 , 1 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 1 , 1 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 7 , 0 , 15 , 11 , 6 , 0
Forcible Entry , 0 , 0 , 2 , 4 , 1 , 0
Unlawful Entry , 0 , 0 , 2 , 0 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 3 , 2 , 0 , 0
Larceny - Theft , 9 , 0 , 53 , 19 , 5 , 1
Autos , 1 , 0 , 3 , 0 , 0 , 0
Trucks and Buses , 0 , 0 , 0 , 1 , 0 , 0
Other Vehicle , 0 , 0 , 0 , 1 , 0 , 0
