crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 0 , 2 , 0 , 0
Attempted Rape , 0 , 1 , 0 , 1 , 0 , 0
Firearm , 0 , 0 , 0 , 1 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 1 , 1 , 1 , 2 , 1 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 0 , 1 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 3 , 8 , 20 , 17 , 8 , 2
Forcible Entry , 0 , 1 , 3 , 3 , 1 , 0
Unlawful Entry , 1 , 0 , 1 , 2 , 0 , 0
Attempted Forcible Entry , 1 , 0 , 1 , 1 , 0 , 0
Larceny - Theft , 9 , 6 , 54 , 32 , 8 , 1
Autos , 0 , 1 , 3 , 3 , 0 , 0
