crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Firearm , 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 0 , 1 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 1 , 1 , 3 , 2 , 1 , 0
Gun , 0 , 0 , 0 , 1 , 0 , 0
Other Dangerous Weapon , 0 , 1 , 0 , 1 , 1 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 1 , 1 , 2 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 5 , 5 , 23 , 27 , 21 , 1
Forcible Entry , 0 , 2 , 1 , 6 , 1 , 0
Unlawful Entry , 1 , 3 , 8 , 8 , 5 , 0
Attempted Forcible Entry , 1 , 1 , 1 , 2 , 1 , 0
Larceny - Theft , 6 , 9 , 33 , 44 , 12 , 1
Autos , 0 , 1 , 5 , 6 , 2 , 0
Trucks and Buses , 0 , 0 , 0 , 0 , 0 , 0
