crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 1 , 0 , 3 , 1 , 0 , 0
Firearm , 0 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 0 , 1 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 2 , 0 , 4 , 2 , 1 , 0
Gun , 0 , 0 , 0 , 2 , 0 , 0
Knife or Cutting Instrument , 1 , 0 , 2 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 3 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 2 , 3 , 1 , 0
"Simple (Hands, Fists, Feet, etc.) ", 0 , 0 , 159 , 136 , 38 , 4
Forcible Entry , 8 , 0 , 38 , 44 , 10 , 0
Unlawful Entry , 6 , 0 , 34 , 21 , 2 , 0
Attempted Forcible Entry , 4 , 0 , 14 , 19 , 3 , 0
Larceny - Theft , 169 , 0 , 761 , 395 , 51 , 1
Autos , 1 , 0 , 12 , 2 , 0 , 0
Trucks and Buses , 0 , 0 , 0 , 1 , 0 , 0
