crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 0 , 0 , 0
"Strong Arm (Hands, Fists, etc.) ", 0 , 0 , 2 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 0 , 1 , 1 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 1 , 0 , 0
"Simple (Hands, Fists, Feet, etc.) ", 9 , 4 , 54 , 25 , 13 , 0
Forcible Entry , 1 , 1 , 10 , 5 , 0 , 0
Unlawful Entry , 0 , 0 , 7 , 9 , 1 , 0
Larceny - Theft , 11 , 7 , 37 , 36 , 7 , 0
Autos , 0 , 0 , 0 , 4 , 0 , 0
Trucks and Buses , 0 , 1 , 0 , 1 , 0 , 0
