crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Murder , 0 , 0 , 0 , 0 , 0 , 0
Rape , 2 , 0 , 7 , 3 , 2 , 0
Firearm , 1 , 0 , 1 , 1 , 1 , 0
Knife or Cutting Instrument , 2 , 0 , 2 , 2 , 1 , 0
Other Dangerous Weapon , 0 , 0 , 1 , 1 , 1 , 0
"Strong Arm (Hands, Fists, etc.) ", 2 , 0 , 6 , 4 , 6 , 3
Knife or Cutting Instrument , 4 , 0 , 8 , 8 , 6 , 0
Other Dangerous Weapon , 0 , 0 , 5 , 12 , 7 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 2 , 0 , 6 , 4 , 3 , 0
"Simple (Hands, Fists, Feet, etc.) ", 44 , 0 , 163 , 123 , 39 , 2
Forcible Entry , 1 , 0 , 11 , 4 , 0 , 0
Unlawful Entry , 1 , 0 , 12 , 7 , 2 , 0
Attempted Forcible Entry , 0 , 0 , 0 , 2 , 0 , 0
Larceny - Theft , 47 , 0 , 196 , 143 , 29 , 2
Autos , 4 , 0 , 11 , 9 , 1 , 0
Trucks and Buses , 0 , 0 , 0 , 1 , 0 , 0
Other Vehicle , 1 , 0 , 2 , 2 , 0 , 0
