crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Rape , 0 , 0 , 0 , 1 , 1 , 0
Firearm , 1 , 0 , 1 , 0 , 0 , 0
Knife or Cutting Instrument , 0 , 0 , 1 , 0 , 0 , 0
"Aggravated (Hands, Fists, Feet, etc.) ", 0 , 0 , 0 , 2 , 2 , 0
"Simple (Hands, Fists, Feet, etc.) ", 5 , 0 , 14 , 17 , 8 , 0
Forcible Entry , 1 , 0 , 6 , 9 , 1 , 0
Unlawful Entry , 0 , 0 , 2 , 4 , 0 , 0
Attempted Forcible Entry , 0 , 0 , 2 , 1 , 0 , 0
Larceny - Theft , 5 , 0 , 26 , 18 , 1 , 0
Autos , 0 , 0 , 1 , 0 , 0 , 0
Trucks and Buses , 0 , 0 , 2 , 2 , 0 , 0
Other Vehicle , 0 , 0 , 0 , 1 , 0 , 0
